HIP	Vmag	RA	DE	Plx	pmRA	pmDE	e_Plx	B-V	V-I
 14633	 9.82	 47.26670225	 76.04234642	  46.91	  192.72	 -487.86	  1.35	 1.321	 1.53
 14648	 8.97	 47.32736878	-16.01875635	  14.50	  -39.99	 -141.15	  1.25	 0.679	 0.74
 14668	 3.79	 47.37345463	 44.85788896	  29.05	  173.01	 -142.05	  0.66	 0.980	 0.94
 14669	10.11	 47.37980007	 45.73367767	  64.83	 -429.09	 -384.63	  4.26	 1.473	 1.91
 14676	 7.99	 47.40126430	  5.20294871	  13.83	   71.03	  -28.47	  1.14	 0.580	 0.65
 14684	 8.48	 47.42597613	 -9.57933346	  24.90	   89.84	 -113.14	  1.28	 0.810	 0.84
 14705	 9.06	 47.49887372	 15.37391985	  21.30	  -96.99	 -281.02	  1.37	 0.825	 0.87
 14721	 8.69	 47.54085358	 18.34570873	  17.55	  163.70	  -58.68	  1.32	 0.682	 0.74
 14729	 9.38	 47.56255166	 12.05088225	  36.96	  245.15	 -153.65	  1.59	 1.150	 1.25
 14739	 6.90	 47.58010545	-74.29777198	  22.02	   52.30	  280.25	  0.59	 0.521	 0.59
 14752	 9.10	 47.62308418	-66.49944888	  13.97	  -88.75	  -30.81	  0.86	 0.558	 0.63
 14760	 8.18	 47.65233924	-34.56671503	  16.91	   14.94	  -17.79	  0.92	 0.543	 0.62
 14759	10.25	 47.65328768	-84.54367107	  15.27	  592.38	  209.06	  1.10	 0.840	 0.88
 14774	 8.06	 47.68041309	 -6.52601128	  14.60	   66.13	    2.85	  1.30	 0.551	 0.62
 14776	10.40	 47.68414661	 44.42323572	  13.64	   91.96	  -68.21	  3.90	 0.956	 0.94
 14777	 8.68	 47.68754535	 65.04450971	  13.81	   71.91	   25.12	  1.13	 0.548	 0.62
 14788	 9.15	 47.74734598	-55.16170947	  13.93	  -64.68	   -5.96	  0.88	 0.734	 0.78
 14796	 8.68	 47.76871324	 55.73330666	  15.40	  113.90	  -83.97	  1.19	 0.584	 0.66
 14809	 8.51	 47.80752876	 22.41616905	  20.24	   56.04	 -125.11	  1.42	 0.710	 0.66
 14810	 8.52	 47.80930127	 21.09748894	  18.91	   -3.01	  -53.57	  1.45	 0.777	 0.81
 14838	 4.35	 47.90695691	 19.72669777	  19.44	  154.61	   -8.39	  1.23	 1.033	 0.96
 14844	 5.92	 47.92855231	 81.47071191	  16.13	  -45.62	   -0.93	  0.53	 0.149	 0.16
 14857	 7.05	 47.96881464	-39.02314429	  23.95	   84.37	  -29.64	  0.71	 0.561	 0.63
 14862	 4.85	 47.98432711	 74.39386878	  20.15	   14.46	  -86.21	  0.54	 0.035	 0.05
 14864	10.06	 47.98681273	 61.52000029	  27.13	   -2.51	  119.34	  3.41	 1.360	 1.59
 14868	 6.98	 47.99012417	-39.36585279	  13.78	   80.85	  -15.68	  0.72	 1.043	 1.01
 14879	 3.80	 48.01783332	-28.98910623	  70.86	  371.49	  612.26	  0.67	 0.543	 0.63
 14886	 7.29	 48.03976575	 37.21784530	  23.60	  -32.74	  -25.05	  2.03	 0.606	 0.68
 14913	 5.92	 48.10699596	-44.41965395	  22.83	   82.73	   -2.61	  0.78	 0.440	 0.51
 14922	 7.56	 48.12615771	 43.86062966	  24.19	  173.50	  -23.28	  1.03	 0.604	 0.67
 14944	 7.64	 48.16292866	 71.55575001	  20.55	   13.94	   11.80	  1.59	 0.629	 0.70
 14954	 5.07	 48.19301506	 -1.19593294	  44.69	  193.43	  -69.23	  0.75	 0.575	 0.63
 14964	 7.27	 48.22690163	-47.15518725	  26.64	  -90.34	  -18.60	  0.66	 0.584	 0.66
