l	fo
5177	0.74439346014
5178	0.73427995662
5179	0.72367143975
5180	0.71169973227
5181	0.69435903384
5182	0.68656066968
5183	0.68089467072
5184	0.68599711602
5185	0.70045912143
5186	0.73386871476
5187	0.747850938
5188	0.74865819054
5189	0.75213851517
5190	0.75529136943
5191	0.75718765134
5192	0.76188647037
5193	0.76492509078
5194	0.77585346243
5195	0.7926306072
5196	0.82013811828
5197	0.83453919897
5198	0.84823964538
5199	0.84730292781
5200	0.83504182791
5201	0.80737438944
5202	0.78700268619
5203	0.76208447571
5204	0.74557387659
5205	0.73413526041
5206	0.72784478307
5207	0.72624550917
5208	0.73191912372
5209	0.73629047238
5210	0.74232963525
5211	0.74841449166
5212	0.75476589372
5213	0.76330297011
5214	0.76675283238
5215	0.76260995142
5216	0.76391221731
5217	0.76845110895
5218	0.78013342401
5219	0.78291311436
5220	0.78127576251
5221	0.77662263702
5222	0.76867196106
5223	0.75467450664
5224	0.74702083869
5225	0.73996118676
5226	0.73874269236
5227	0.74220778581
5228	0.75315138864
5229	0.7574465814
5230	0.75899254617
5231	0.76071366951
5232	0.76189408596
5233	0.76193216391
5234	0.76432345917
5235	0.76900704702
5236	0.77196189594
5237	0.77424657294
5238	0.77618854839
5239	0.77547268293
5240	0.76973814366
5241	0.77056062738
5242	0.77951656122
5243	0.78342335889
5244	0.78422299584
5245	0.78071220885
5246	0.77755935459
5247	0.7719923583
5248	0.76792563324
5249	0.76466616072
5250	0.76192454832
5251	0.76092690603
5252	0.76005111318
5253	0.76296788415
5254	0.76893089112
5255	0.78042281643
5256	0.78595935036
5257	0.79176242994
5258	0.79024692753
5259	0.78313396647
5260	0.76886235081
5261	0.75558837744
5262	0.73616862294
5263	0.72476046912
5264	0.7178455134
5265	0.7157893041
5266	0.71633001099
5267	0.72170661753
5268	0.72700706817
5269	0.73354885998
5270	0.74171277246
5271	0.74858203464
5272	0.75593107899
5273	0.76126199199
5274	0.76419399414
5275	0.76774285908
5276	0.77144403582
5277	0.77679779559
5278	0.77784113142
5279	0.77468066157
5280	0.77216751687
5281	0.7694030577
5282	0.76328773893
5283	0.76715645865
5284	0.78087213624
5285	0.79208990031
5286	0.80341428264
5287	0.81704618874
5288	0.82243802646
5289	0.8210367579
5290	0.81939179046
5291	0.81597239055
5292	0.81100702587
5293	0.80330004879
5294	0.78953867766
5295	0.78205255269
5296	0.7777040508
5297	0.7765617123
5298	0.77826760446
5299	0.78435246087
5300	0.78989661039
5301	0.79755789393
5302	0.80380267773
5303	0.80910312837
5304	0.81347447703
5305	0.81682533663
5306	0.81942986841
5307	0.82059505368
5308	0.8204275107
5309	0.81799813749
5310	0.8170766511
5311	0.81811998693
5312	0.81643694154
5313	0.81292615455
5314	0.80693268522
5315	0.80135045775
5316	0.79145780634
5317	0.78876188748
