Name1                RA          DEC       z       Morp     R50   IC     L_K     L_Age   O3Hb    N2Hb   Act  L_Ha  Sigma L5100  Bulge   MB       O/H     BMAG    
J104454.42+512930.0  161.22675  +51.49167  0.0252  LateS    7.2   2.23   10.54    8.90  -0.866  -0.490  SFG  6.56    89  42.43   9.13   10.66   +0.61   -18.73     
J123600.11+541315.4  189.00047  +54.22097  0.0179  EarlyS   7.6   2.40   10.85    9.57   0.547   0.143  AGN  5.95   185  42.91   9.62   10.90   -0.37   -18.95   
J125116.51+534146.6  192.81883  +53.69629  0.0162  EarlyS   5.9   2.75   10.80    9.70   0.188   0.251  AGN  5.29   157  42.83   9.43   10.74   -0.12   -18.58   
J131446.03+534913.2  198.69181  +53.82036  0.0157  EarlyS   4.4   3.21   10.67    9.76   0.317   0.263  AGN  5.95   182  42.83   9.55   10.60   -0.21   -18.23   
J132745.69+544756.9  201.94040  +54.79915  0.0331  EarlyS  15.8   3.00   11.27    9.66   0.639   0.301  AGN  6.54   221  43.13  10.04   11.16   -0.43   -19.62   
J144331.70+481158.3  220.88208  +48.19954  0.0370  EarlyS   8.7   2.33   10.87    9.51   0.044  -0.202  TO   6.46   139  42.81   9.69   11.01   -0.02   -19.25   
J153626.77+475117.3  234.11157  +47.85481  0.0262  EarlyS   8.7   2.52   10.61    9.36  -0.354  -0.277  TO   6.29   113  42.70   9.36   10.94   +0.25   -19.04   
J085850.46+061734.7  134.71029  +06.29299  0.0128  LateS    7.7   2.25   10.86    7.92  -0.730  -0.324  SFG  7.51   123  42.78   9.12   10.94   +0.51   -19.43   
J090015.62+401748.3  135.06508  +40.29675  0.0289  LateS   11.6   2.22   10.79    9.26  -0.086  -0.255  TO   7.28   111  42.70   9.38   10.81   +0.07   -19.11   
J084153.06+325205.3  130.47110  +32.86814  0.0257  EarlyS  10.9   2.40   10.83    9.37   0.452  -0.159  AGN  6.19   147  42.95   9.58   11.05   -0.30   -19.31   
J084408.90+333056.6  131.03710  +33.51573  0.0256  EarlyS  11.5   2.76   10.82    9.37   0.101  -0.171  TO   6.47   132  42.46   9.48   10.81   -0.06   -18.71   
J091958.02+371128.5  139.99177  +37.19126  0.0075  EarlyS   3.9   2.79   10.22    9.02   0.627   0.096  AGN  5.62   111  41.56   8.80    9.82   -0.42   -16.25   
J095204.01+405129.4  148.01675  +40.85819  0.0168  EarlyS   6.1   2.42   10.55    9.09   0.581   0.156  AGN  5.98   111  42.51   9.15   10.70   -0.39   -18.44   
J110952.32+093109.9  167.46804  +09.51944  0.0298  Early   10.1   3.08   10.96    9.86  -0.066   0.044  AGN  6.48   199  43.06   9.90   10.96   +0.06   -18.58   
J114018.50+090035.5  175.07710  +09.00988  0.0061  EarlyS   2.8   2.72   10.20    9.24   0.003  -0.127  TO   5.31   103  41.80   8.65   10.20   +0.01   -17.22     
J115827.52+100117.4  179.61470  +10.02150  0.0139  EarlyS   7.2   2.44   10.57    9.72  -0.023  -0.321  TO   5.68   102  42.23   8.99   10.62   +0.03   -18.25   
J093859.18+065719.5  144.74661  +06.95544  0.0166  EarlyS   9.3   2.19   10.91    8.64  -0.772  -0.440  SFG  7.04   147  42.63   9.39   11.06   +0.54   -19.35   
J080036.67+222400.1  120.15282  +22.40005  0.0184  LateS    8.9   1.85   10.61    9.14  -0.713  -0.351  SFG  6.26    96  42.16   9.06   10.59   +0.50   -18.56   
J081807.59+263801.8  124.53164  +26.63386  0.0202  EarlyS   8.0   1.96   10.59    9.17   0.242   0.128  AGN  6.09    99  42.56   9.13   10.73   -0.16   -18.52   
J082009.89+270536.5  125.04123  +27.09348  0.0196  EarlyS   8.7   2.57   11.02    9.70  -0.505  -0.273  TO   6.42   207  42.76   9.75   10.84   +0.36   -18.83   
J093712.22+363712.6  144.30095  +36.62019  0.0398  EarlyS   9.1   3.50   11.01    9.62  -0.075  -0.077  TO   6.57   170  43.21   9.89   10.93   +0.06   -19.04   
J093015.61+364133.3  142.56507  +36.69260  0.0273  EarlyS   9.1   2.02   10.63    8.92  -0.407  -0.345  SFG  6.63   105  42.47   9.31   10.87   +0.29   -18.87   
J094302.19+374923.3  145.75913  +37.82315  0.0220  EarlyS   9.4   2.29   10.84    9.46  -0.586  -0.321  SFG  7.03   133  42.59   9.42   10.86   +0.41   -18.84   
J095058.69+375758.8  147.74458  +37.96635  0.0406  EarlyS  14.8   2.77   10.94    9.24   0.969   0.278  AGN  6.98   134  42.65   9.69   10.89   -0.66   -18.91   
J123713.54+492653.6  189.30643  +49.44823  0.0299  EarlyS  12.5   1.88   11.01    9.57   0.338   0.237  AGN  6.10   129  42.80   9.53   11.18   -0.22   -19.64   
J141235.80+471510.9  213.14918  +47.25305  0.0281  EarlyS   7.5   2.31   10.72    9.15  -0.636  -0.337  SFG  6.83   131  42.64   9.51   10.72   +0.45   -18.48   
J144901.18+422750.1  222.25494  +42.46393  0.0183  EarlyS   9.3   2.29   10.48    8.95  -0.570  -0.383  SFG  6.11    89  41.96   8.99   10.66   +0.40   -18.34   
J084324.71+080446.9  130.85297  +08.07971  0.0297  EarlyS   8.6   2.44   10.84    9.27  -0.424  -0.413  SFG  6.75   119  42.67   9.46   10.92   +0.30   -19.     
J094514.39+090637.2  146.30998  +09.11034  0.0183  LateS    9.5   2.12   10.82    9.03   0.165  -0.151  TO   6.24   109  42.45   9.16   10.85   -0.10   -19.21   
J135429.15+541950.3  208.62149  +54.33066  0.0154  EarlyS   6.1   3.15   10.75    8.85  -0.380  -0.149  TO   6.92   149  42.75   9.36   10.83   +0.27   -18.76   
J143816.28+402724.2  219.56785  +40.45673  0.0092  LateS    5.2   2.03   10.14    8.27  -0.519  -0.473  SFG  5.88    84  41.61   8.64   10.33   +0.37   -18.15     
J110604.55+431951.9  166.51900  +43.33109  0.0107  LateS    3.9   2.53   10.03    8.53  -0.352  -0.527  SFG  6.17    87  41.85   8.74   10.20   +0.25   -17.58   
J141153.44+381137.8  212.97269  +38.19385  0.0205  EarlyS   7.7   2.98   11.05    9.41   0.066   0.023  AGN  6.45   186  42.93   9.68   10.83   -0.04   -18.77   
J143714.69+382715.3  219.31123  +38.45427  0.0123  LateS    8.1   2.09   10.47    8.52  -0.723  -0.295  SFG  7.07   116  42.23   9.05   10.50   +0.51   -18.32   
J142908.35+414950.8  217.28481  +41.83078  0.0181  EarlyS   5.3   2.80   10.63    9.44  -0.260  -0.171  TO   6.78   128  42.51   9.30   10.61   +0.19   -18.21   
J145138.88+403556.9  222.91202  +40.59916  0.0163  EarlyS  10.0   2.57   11.07    9.91   0.414   0.221  AGN  6.23   214  42.87   9.70   11.07   -0.28   -19.37   
J165458.22+220854.4  253.74258  +22.14845  0.0354  EarlyS  15.0   2.68   10.88    9.24  -0.081  -0.235  TO   6.44   132  42.56   9.62   10.87   +0.07   -18.87     
J135034.52+445044.9  207.64385  +44.84583  0.0433  EarlyS  11.1   2.22   11.01    9.34  -0.464  -0.337  SFG  6.84   128  42.93   9.68   11.21   +0.33   -19.72   
J163121.57+224149.4  247.83989  +22.69707  0.0243  LateS   10.3   1.83   10.55    9.13  -0.454  -0.262  TO   6.78    94  42.38   9.16   10.62   +0.32   -18.64   
J155727.90+300335.4  239.36628  +30.05986  0.0328  LateS    1.5   2.01   10.94    9.91   0.217   0.170  AGN  6.32   174  43.06   9.83   10.00   -0.14   -17.07   
J155601.61+302502.6  239.00673  +30.41741  0.0468  EarlyS  17.8   2.15   11.31    9.95   0.229   0.312  AGN  6.83   190  43.29  10.06   11.29   -0.15   -19.91   
J093011.12+343951.7  142.54636  +34.66436  0.0231  EarlyS   4.6   2.85   10.76    9.04  -0.637  -0.406  SFG  7.31   115  42.86   9.32   10.75   +0.45   -18.56     
J110037.22+112455.1  165.15509  +11.41532  0.0271  EarlyS   8.3   3.22   11.05    9.01   0.526   0.185  AGN  6.59   170  42.94   9.72   10.89   -0.35   -18.95   
J120356.03+071747.6  180.98346  +07.29658  0.0223  EarlyS   7.4   2.01   10.54    9.44  -0.336  -0.107  TO   5.85    89  42.25   9.08   10.81   +0.24   -18.71   
J141349.19+371608.7  213.45497  +37.26911  0.0222  EarlyS   5.2   2.67   10.74    8.64  -0.672  -0.389  SFG  7.27   121  42.68   9.34   10.77   +0.47   -18.62   
J133601.21+495739.0  204.00505  +49.96083  0.0054  EarlyS   3.6   2.49    9.78    8.67  -0.333  -0.450  SFG  5.55    91  41.28   8.48    9.83   +0.24   -16.27   
