PSO Pan-STARRS1    Identifier RAdeg    DECdeg     Period    PM
PSO J011.5329+41.9195 2058555 11.53292 41.91947   3.748529  0.000323
PSO J011.4120+41.9264 2061188 11.41198 41.92636   3.829615  0.000437
PSO J011.5001+41.9271 2061686 11.50009 41.92711   3.753601  0.000309
PSO J011.4306+41.9343 2064587 11.43065 41.93434   3.236716  0.000194
PSO J011.3923+41.9463 2069450 11.39235 41.94631   3.237688  0.000341
PSO J011.3933+41.9506 2071335 11.39327 41.95064   3.583281  0.000476
PSO J011.6908+41.9604 2076356 11.69077 41.96036   3.490161  0.000320
PSO J011.4658+41.9629 2076948 11.46580 41.96288   3.843047  0.000381
PSO J011.4433+41.9691 2079623 11.44328 41.96910   3.135732  0.000338
PSO J011.4219+41.9751 2082303 11.42195 41.97512   3.901180  0.001011
PSO J011.3314+41.9997 2092921 11.33143 41.99967   3.670972  0.018701
PSO J011.8248+41.9969 2092951 11.82480 41.99687   3.124018  0.000310
PSO J011.7897+42.0118 2099486 11.78968 42.01177   3.356651  0.000310
PSO J011.6793+42.0139 2100044 11.67931 42.01386   3.127717  0.000206
PSO J011.6960+42.0153 2100742 11.69597 42.01528   3.684483  0.000388
PSO J011.7542+42.0167 2101510 11.75418 42.01671   3.925926  0.000328
PSO J011.6501+42.0186 2102005 11.65015 42.01856   3.323168  0.000310
PSO J011.5980+42.0190 2102035 11.59804 42.01895   3.293705  0.000173
